city,clim_zone
Albury,7
Albury,4
Badgerys Creek,6
Cobar,4
Coffs Harbour,2
Moree,4
Newcastle,5
Norah Head,5
Norfolk Island,
Penrith,6
Richmond,7
Sydney,5
Sydney Airport,5
Wagga Wagga,4
Williamtown,5
Wollongong,5
Canberra,7
Tuggeranong,7
Mount Ginini,6
Ballarat,7
Bendigo,6
Sale,6
Melbourne Airport,6
Melbourne,6
Mildura,4
Nhill,4
Portland,6
Watsonia,6
Dartmoor,6
Brisbane,2
Cairns,1
Gold Coast,2
Townsville,1
Adelaide,5
Mount Gambier,6
Nuriootpa,6
Woomera,4
Albany,6
Witchcliffe,5
RAFF Base Pearce,1
Perth Airport,5
Perth,5
Salmon Gums,4
Walpole,6
Hobart,7
Launceston,7
Alice Springs,3
Darwin,1
Katherine,1
Uluru,3
